date,totalNetInflow,cum5,rank90,side
2026-06-03,-396596501.8,-1753734224.7400007,0.044444444444444446,short
2026-06-04,3046802.14,-1521806647.3000007,0.08888888888888889,short
2026-06-05,-325694998.3,-1722196018.5000005,0.05555555555555555,short
2026-06-08,-91373569.585,-1329808716.4850006,0.15555555555555556,short
2026-06-09,-77437794.75,-888056062.2950006,0.26666666666666666,none
2026-06-10,-213849719.5,-705309279.9950005,0.3,none
2026-06-11,-19026463.759999998,-727382545.8950005,0.28888888888888886,none
2026-06-12,85849837.77499999,-315837709.82000047,0.3888888888888889,none
2026-06-15,-64086225.69999999,-288550365.9350005,0.4222222222222222,none
2026-06-16,10064258.775,-201048312.41000047,0.4666666666666667,none
2026-06-17,-82163664.86,-69362257.77000047,0.4888888888888889,none
2026-06-18,-90656608.71999998,-140992402.73000047,0.4666666666666667,none
2026-06-22,-68175739.77999997,-295017980.28500044,0.37777777777777777,none
2026-06-23,-113780200.575,-344711955.16000044,0.34444444444444444,none
2026-06-24,-469075417.85,-823851631.7850004,0.23333333333333334,none
2026-06-25,-696292055.9300001,-1437980022.8550005,0.12222222222222222,short
2026-06-26,-444505600.00000006,-1791829014.1350005,0.03333333333333333,short
2026-06-29,-231098221.08,-1954751495.4350007,0.022222222222222223,short
2026-06-30,-222644311.4,-2063615606.2600005,0.022222222222222223,short
2026-07-01,-294619481.90999997,-1889159670.3200006,0.05555555555555555,short
2026-07-02,221719273.5,-971148340.8900006,0.24444444444444444,none
2026-07-06,265686935.35,-260955805.54000047,0.4222222222222222,none
2026-07-07,21435004.250000004,-8422580.210000452,0.5444444444444444,none
2026-07-08,-84860056.0,129361675.18999955,0.6111111111111112,none
2026-07-09,-95301696.51,328679460.58999956,0.7111111111111111,none
2026-07-10,90439970.0,197400157.08999956,0.6333333333333333,none
2026-07-13,-424661225.9,-492948004.16000044,0.3333333333333333,none
2026-07-14,181083537.89,-333299470.52000046,0.3888888888888889,none
2026-07-15,107804553.79999958,-140634860.72000086,0.5222222222222223,none
2026-07-16,79150022.97999999,33816858.76999912,0.6111111111111112,none
2026-07-17,132296394.775,75673283.54499912,0.6333333333333333,none
2026-07-20,226919372.63,727253882.0749991,0.8333333333333334,long
2026-07-21,203144295.4,749314639.5849991,0.8333333333333334,long
2026-07-22,68987046.87500043,710497132.66,0.8111111111111111,long
2026-07-23,-225176828.385,406170281.29499996,0.7444444444444445,none
2026-07-24,-240084652.50000003,33789234.01999995,0.6,none
2026-07-27,-11643898.8,-204774037.41000006,0.4777777777777778,none
2026-07-28,-49754364.00000001,-457672696.81000006,0.35555555555555557,none
2026-07-29,32109893.80499999,-494549849.8800005,0.3333333333333333,none
2026-07-30,233129286.20999956,-36243735.28500095,0.6,none
2026-07-31,-265372778.16,-61531860.94500092,0.5888888888888889,none
2026-08-03,170090384.45499998,120202422.30999906,0.6888888888888889,none
2026-08-04,211492376.2,381449162.50999904,0.7666666666666667,none
2026-08-05,244419263.35,593758532.0549991,0.8111111111111111,long
2026-08-06,128688195.84000044,489317441.68499994,0.7666666666666667,none
2026-08-07,98845326.995,853535546.84,0.8888888888888888,long
